,font_1,font_2,font_3,font_4,font_5,p_1,p_2,p_3,p_4,p_5
22,612.0,843.0,890.0,552.0,2185.0,2.802596928649634e-45,5.106102505757215e-29,1.0586466016411665e-23,2.799815500970082e-13,1.0
23,795.0,796.0,797.0,799.0,221.0,0.0,0.0,0.0,0.0,1.0
24,791.0,841.0,1912.0,837.0,217.0,0.0,4.624425062118329e-41,5.299933654584224e-37,7.190319634100246e-24,1.0
25,746.0,2186.0,221.0,215.0,837.0,1.0204700725634483e-23,9.562343590432247e-20,2.03412078292331e-08,4.594140045810491e-05,0.9999540448188782
26,1047.0,834.0,1744.0,2185.0,221.0,1.5064880404791156e-25,2.109945519083306e-15,1.0596171258947431e-14,2.677715471230413e-12,1.0
27,795.0,796.0,798.0,2382.0,2185.0,0.0,0.0,0.0,0.0,1.0
28,797.0,790.0,2382.0,890.0,884.0,0.0,0.0,0.0,1.764214431479729e-33,1.0
29,791.0,784.0,1744.0,2038.0,837.0,0.0,0.0,1.401298464324817e-45,8.358821901310876e-08,0.9999999403953552
30,552.0,1748.0,1047.0,1844.0,1898.0,3.618977595457134e-27,3.1640535241602615e-18,9.19569325200098e-14,7.735628138050288e-09,1.0
31,2185.0,168.0,837.0,843.0,1744.0,4.5495281837794807e-35,6.100596152920737e-25,1.6811653666209827e-19,1.506273474660702e-05,0.9999849200248718
32,796.0,797.0,2382.0,382.0,884.0,0.0,0.0,0.0,9.388699710976274e-44,1.0
33,783.0,1879.0,1047.0,2181.0,1113.0,0.0,1.2742540138018509e-34,1.2434030268112757e-33,3.154644096646392e-31,1.0
34,785.0,784.0,783.0,837.0,1898.0,0.0,0.0,0.0,2.4480944547477894e-14,1.0
35,1578.0,1444.0,2359.0,833.0,1744.0,4.6835290409921164e-23,6.430343754448116e-20,8.33357176804406e-16,1.1064930083293234e-09,1.0
36,796.0,790.0,2185.0,887.0,837.0,0.0,0.0,1.401298464324817e-44,6.980636929574138e-26,1.0
37,2382.0,217.0,890.0,566.0,2185.0,0.0,6.090174242650365e-34,3.738544546649791e-05,0.002050916664302349,0.9979116916656494
38,795.0,797.0,460.0,474.0,410.0,0.0,0.0,1.87128450340169e-30,1.033437442288232e-07,0.9999998807907104
39,795.0,796.0,790.0,2382.0,996.0,0.0,0.0,0.0,0.0,1.0
40,795.0,796.0,789.0,1748.0,1744.0,0.0,0.0,0.0,0.4208822250366211,0.5791177749633789
41,1567.0,1169.0,1803.0,712.0,1758.0,6.616851915322597e-19,2.6705890832090518e-09,3.5592780278648206e-08,4.11851530657259e-08,0.9999999403953552
42,2186.0,686.0,837.0,1750.0,2362.0,1.4408178836157056e-39,9.133852528486752e-13,9.496160524591346e-10,2.1281398865369283e-09,1.0
43,796.0,797.0,791.0,1362.0,566.0,0.0,0.0,0.0,4.4189586333232e-05,0.9999558329582214
44,796.0,797.0,790.0,2382.0,217.0,0.0,0.0,0.0,0.0,1.0
45,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
46,796.0,797.0,799.0,2382.0,245.0,0.0,0.0,0.0,0.0,1.0
47,795.0,796.0,2382.0,566.0,884.0,0.0,0.0,0.0,3.8717876569294696e-42,1.0
48,566.0,2186.0,2189.0,1744.0,2185.0,8.301576204377159e-34,4.376821146145484e-29,2.2079802277012088e-26,1.5404894740304742e-19,1.0
49,1887.0,1990.0,765.0,884.0,1879.0,4.626821282492324e-40,4.035696137003079e-39,1.2873702859301595e-30,3.950809423131129e-15,1.0
50,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
51,790.0,2382.0,1750.0,884.0,890.0,0.0,0.0,4.106227841143954e-25,2.3383590814773925e-05,0.999976634979248
52,879.0,2153.0,2117.0,843.0,1744.0,1.318212500456187e-28,1.5731639816728346e-26,2.970015253826374e-20,4.038359939699415e-17,1.0
53,792.0,2382.0,217.0,2125.0,912.0,0.0,0.0,6.58610278232664e-44,2.0577141458601822e-30,1.0
54,796.0,797.0,798.0,837.0,843.0,0.0,0.0,0.0,2.4090115073113938e-20,1.0
55,269.0,263.0,509.0,2004.0,1127.0,5.904247765167756e-39,5.868485485361548e-29,2.5799025681632544e-27,6.974484893034183e-27,1.0
56,1744.0,1824.0,1617.0,231.0,1742.0,2.1165936808746283e-25,2.8295353798717116e-13,1.126641748644408e-12,2.8075736180355193e-10,1.0
57,2134.0,2185.0,2189.0,890.0,2186.0,5.778833084398062e-34,1.956136114757136e-22,9.845614983934012e-21,8.05627660686795e-17,1.0
58,2200.0,843.0,2185.0,1744.0,2015.0,1.8860498349073697e-35,3.216885023767135e-33,2.9290674830399795e-30,2.642608295865816e-17,1.0
59,788.0,1742.0,1904.0,1824.0,1744.0,0.0,2.03954147339421e-33,6.244935402408712e-32,7.921367258581093e-32,1.0
60,796.0,217.0,1912.0,1954.0,2130.0,0.0,2.802596928649634e-45,2.693175790585622e-18,7.156369951927949e-14,1.0
61,786.0,837.0,2186.0,2185.0,217.0,0.0,3.343351560059645e-38,7.401671941028941e-36,4.739960390478419e-18,1.0
62,791.0,2382.0,1427.0,2164.0,1159.0,0.0,0.0,5.184804318001823e-44,1.6190223577703114e-31,1.0
63,790.0,837.0,103.0,887.0,2185.0,0.0,2.022983753842115e-32,1.279814302282622e-31,3.17777353884676e-16,1.0
64,2060.0,1748.0,901.0,894.0,1744.0,2.1348673139020002e-36,8.907557292003833e-17,8.973526335518366e-15,0.09116948395967484,0.9088305234909058
65,1898.0,2164.0,2170.0,841.0,278.0,9.586156698550971e-20,1.0385370851581463e-19,1.783984397560055e-16,3.2462785460658132e-15,1.0
66,1744.0,2117.0,1641.0,1609.0,1617.0,7.87915483825097e-22,1.9663513924351243e-19,1.646138335133229e-15,1.295095649646305e-12,1.0
67,797.0,790.0,2382.0,884.0,217.0,0.0,0.0,0.0,4.768130461712382e-38,1.0
68,796.0,797.0,798.0,2185.0,837.0,0.0,0.0,0.0,4.051933045087382e-35,1.0
69,790.0,2382.0,1758.0,2200.0,843.0,0.0,0.0,4.5160917061478215e-33,3.8711838404076393e-32,1.0
70,795.0,2382.0,620.0,2038.0,1752.0,0.0,0.0,2.5223372357846707e-44,7.382040310063136e-42,1.0
71,2032.0,2117.0,1820.0,1974.0,1381.0,1.0353104216096389e-17,1.921271894697726e-17,1.867253910086547e-13,0.06172734871506691,0.9382726550102234
72,2382.0,2362.0,2303.0,1820.0,486.0,0.0,1.4060197191108202e-38,8.944010572912373e-20,5.236065982954874e-16,1.0
73,794.0,795.0,796.0,798.0,1599.0,0.0,0.0,0.0,0.0,1.0
74,1396.0,2134.0,566.0,1010.0,837.0,1.3678901076368491e-39,1.6853910010201898e-26,9.474857502404495e-23,3.830736942933566e-12,1.0
75,798.0,792.0,783.0,1954.0,912.0,0.0,0.0,0.0,6.42789468799657e-34,1.0
76,1990.0,843.0,566.0,1694.0,1744.0,4.004581986298588e-16,1.4743338105915882e-08,6.311820925475331e-06,0.03648495301604271,0.9635087251663208
77,2382.0,2185.0,837.0,1744.0,843.0,0.0,1.1946343375895514e-32,7.742911989694037e-26,2.516591166568105e-07,0.9999997615814209
78,612.0,1116.0,2264.0,1758.0,843.0,1.605774019776045e-23,1.1434546707263263e-19,1.1126879582643023e-12,1.136652281275019e-05,0.9999886155128479
79,796.0,790.0,1113.0,884.0,712.0,0.0,0.0,5.029187850071924e-35,5.441725289368964e-29,1.0
80,797.0,790.0,1954.0,884.0,912.0,0.0,0.0,3.581533062637863e-38,3.206682231393643e-05,0.9999679327011108
81,796.0,797.0,798.0,2185.0,837.0,0.0,0.0,0.0,3.3350903450930646e-43,1.0
82,1744.0,566.0,837.0,843.0,1059.0,4.9502682093006385e-37,2.384510035274684e-34,1.9282570130601564e-22,0.00025659342645667493,0.9997434020042419
83,2181.0,712.0,1914.0,1744.0,2185.0,1.3141599526486763e-29,3.1795592730533135e-29,1.197109070690918e-21,1.0196594406370996e-18,1.0
84,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
85,796.0,797.0,791.0,2382.0,552.0,0.0,0.0,0.0,0.0,1.0
86,841.0,1047.0,1742.0,215.0,221.0,2.2997906747382335e-13,2.000914491873118e-06,0.0002728405233938247,0.01091188844293356,0.9888132810592651
87,797.0,790.0,2382.0,890.0,884.0,0.0,0.0,0.0,1.1998005255975386e-08,1.0
88,843.0,837.0,1742.0,1744.0,2004.0,1.6157765969637694e-07,6.278360524447635e-05,0.0001027886537485756,0.1844337284564972,0.8154004216194153
89,796.0,797.0,790.0,2363.0,813.0,0.0,0.0,0.0,8.66002450952737e-43,1.0
90,796.0,1714.0,2185.0,837.0,2038.0,0.0,8.504130055371234e-40,1.2391402239697696e-35,0.0005713602295145392,0.9994286298751831
91,2164.0,1921.0,1990.0,2153.0,1744.0,5.432688568989285e-34,3.5686997656811094e-23,1.935287997779759e-21,1.5653966135021073e-15,1.0
92,1990.0,841.0,1744.0,2164.0,2165.0,4.764414778704378e-44,1.294799781036131e-42,1.3389900968724372e-23,1.0922147788599828e-22,1.0
93,1752.0,2185.0,1798.0,2038.0,1744.0,1.6174490115723706e-15,5.593660317516945e-15,3.0090478719824176e-11,0.05967434123158455,0.9403256773948669
94,789.0,2189.0,566.0,2186.0,2185.0,0.0,1.0764476158214528e-36,1.7913671499632133e-19,7.05392743015314e-19,1.0
95,2185.0,2189.0,2186.0,1912.0,837.0,2.636625747370729e-33,1.2816481005945094e-21,1.2907990648569623e-13,2.0326003991044672e-08,1.0
96,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
97,790.0,2382.0,843.0,841.0,2200.0,0.0,0.0,2.3328807865769383e-36,4.8511731351079784e-36,1.0
98,2181.0,1744.0,1636.0,1921.0,1444.0,1.1427207791125937e-10,3.4210838748549577e-06,1.2849714948970359e-05,0.007747900206595659,0.9922358393669128
99,797.0,790.0,2382.0,217.0,884.0,0.0,0.0,0.0,4.288177677860781e-34,1.0
100,1750.0,1813.0,884.0,2362.0,686.0,2.21920638096259e-30,8.338871751685223e-26,1.2504981670143173e-21,5.862099442310864e-06,0.999994158744812
101,2185.0,837.0,2189.0,554.0,712.0,1.8458732142789813e-07,6.383235700013756e-07,1.010214509733487e-05,0.00122547906357795,0.9987636208534241
102,791.0,2382.0,1649.0,108.0,1577.0,0.0,0.0,3.5563735894899895e-38,1.2135952818735057e-32,1.0
103,554.0,827.0,2115.0,2122.0,2117.0,1.1387024796675038e-32,1.9487665924374068e-18,3.869021531106853e-13,0.02558346837759018,0.9744165539741516
104,686.0,566.0,843.0,837.0,1744.0,2.802596928649634e-45,3.6433760072445244e-44,1.4632693082449143e-36,1.7333005690456371e-12,1.0
105,2115.0,1349.0,568.0,2117.0,1744.0,1.260246024148636e-32,2.4097608330981176e-31,2.3222928606942516e-17,2.3325206180962248e-17,1.0
106,796.0,797.0,790.0,2382.0,890.0,0.0,0.0,0.0,0.0,1.0
107,2362.0,837.0,901.0,2185.0,1884.0,1.5741144768881072e-31,3.194543194743813e-18,1.9903019458770467e-14,0.0033430939074605703,0.9966568946838379
108,794.0,795.0,796.0,798.0,1787.0,0.0,0.0,0.0,0.0,1.0
109,796.0,790.0,2382.0,721.0,1752.0,0.0,0.0,0.0,7.49858115508186e-29,1.0
110,798.0,2382.0,221.0,864.0,217.0,0.0,0.0,1.8216880036222622e-44,5.8577779054938166e-40,1.0
111,795.0,796.0,798.0,2382.0,2185.0,0.0,0.0,0.0,0.0,1.0
112,796.0,797.0,799.0,2382.0,245.0,0.0,0.0,0.0,0.0,1.0
113,1974.0,1744.0,231.0,245.0,2153.0,4.448974053174324e-27,4.003481321340666e-24,4.552010776913684e-20,4.410973703663522e-17,1.0
114,832.0,1758.0,829.0,1748.0,1744.0,2.945908911594139e-23,9.983536471107625e-23,6.588121016836972e-17,0.042070504277944565,0.9579294919967651
115,837.0,196.0,2130.0,2131.0,2038.0,4.820282093491782e-33,2.6180067103123907e-31,1.5466233737017243e-21,3.336425892149248e-20,1.0
116,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
117,1636.0,1921.0,1744.0,1887.0,1985.0,3.6189028633567605e-30,2.0713092477217924e-28,2.1675075525584976e-24,1.1006467553037091e-22,1.0
118,1990.0,1935.0,1881.0,2362.0,1135.0,1.5514759112353949e-27,2.7327119944378323e-23,2.9030844677054e-21,1.0870497417442182e-19,1.0
119,795.0,796.0,797.0,799.0,1879.0,0.0,0.0,0.0,0.0,1.0
120,785.0,784.0,1169.0,884.0,1488.0,0.0,0.0,3.4632110636862827e-40,1.6420662788260912e-32,1.0
121,2183.0,2134.0,1974.0,2115.0,2117.0,4.5914789889833125e-19,3.0152536554823445e-14,1.2339800405450352e-12,3.273250968049979e-07,0.9999997019767761
122,796.0,790.0,2382.0,884.0,2181.0,0.0,0.0,0.0,1.333226508634833e-29,1.0
123,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
124,792.0,2382.0,554.0,384.0,217.0,0.0,0.0,1.874802139022457e-35,1.2473473834117805e-31,1.0
125,796.0,797.0,791.0,2382.0,1744.0,0.0,0.0,0.0,0.0,1.0
126,796.0,790.0,2382.0,1884.0,887.0,0.0,0.0,0.0,2.5450782726873938e-24,1.0
127,789.0,2382.0,1168.0,1881.0,2362.0,0.0,0.0,1.7600308711919702e-42,2.214715659603901e-15,1.0
128,790.0,2382.0,884.0,2181.0,1744.0,0.0,0.0,9.80908925027372e-45,1.701176335690328e-42,1.0
129,1824.0,1875.0,2153.0,2164.0,2165.0,1.4091612807883473e-30,1.1484015570245354e-29,1.7701234155925237e-29,3.5751901818722803e-28,1.0
130,2186.0,884.0,843.0,890.0,1744.0,5.43352339038356e-32,2.69219953728619e-26,1.5103043598738153e-12,0.012093822471797466,0.9879061579704285
131,2382.0,884.0,843.0,554.0,217.0,0.0,3.387862869490055e-23,1.6158443472136241e-09,3.1081648366182435e-09,1.0
132,109.0,841.0,2004.0,2181.0,2185.0,1.969247033489007e-21,4.690332759050111e-19,1.8235192245086296e-09,8.738305155020498e-07,0.9999991059303284
133,798.0,792.0,2382.0,554.0,217.0,0.0,0.0,0.0,3.1285870309211494e-33,1.0
134,1875.0,2360.0,843.0,552.0,1012.0,8.718344906810671e-05,0.005833206698298454,0.04589013755321503,0.07161163538694382,0.8765714764595032
135,1844.0,1636.0,2185.0,843.0,837.0,2.927760907483127e-40,1.8642060467111627e-26,3.0083278090842214e-09,5.5071453971322626e-05,0.9999449253082275
136,1744.0,833.0,452.0,1742.0,101.0,2.260954240453942e-25,4.188448298801005e-24,5.181804385859447e-22,2.144031583384276e-07,0.9999997615814209
137,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
138,797.0,790.0,2382.0,890.0,884.0,0.0,0.0,0.0,4.390046571468411e-37,1.0
139,797.0,790.0,2382.0,1047.0,884.0,0.0,0.0,0.0,2.130330044896e-34,1.0
140,2382.0,2005.0,1974.0,1758.0,1567.0,0.0,7.847271400218976e-43,6.018047791911581e-35,2.2413823240614966e-26,1.0
141,796.0,797.0,791.0,2382.0,636.0,0.0,0.0,0.0,0.0,1.0
142,1427.0,832.0,1820.0,712.0,2362.0,1.5253528059323836e-23,1.8632202269598566e-16,5.4502996735568e-16,1.2949728962763363e-11,1.0
143,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
144,796.0,798.0,2382.0,721.0,2185.0,0.0,0.0,0.0,6.61531897867343e-32,1.0
145,795.0,797.0,2382.0,2181.0,2185.0,0.0,0.0,0.0,9.913157100749359e-12,1.0
146,797.0,790.0,2382.0,890.0,884.0,0.0,0.0,0.0,3.464461582435846e-38,1.0
147,795.0,796.0,797.0,799.0,221.0,0.0,0.0,0.0,0.0,1.0
148,2189.0,1744.0,843.0,217.0,221.0,3.172870252477976e-22,1.436239495389291e-11,3.8412311526014875e-11,0.0014404159737750888,0.9985595941543579
149,797.0,798.0,791.0,2382.0,1714.0,0.0,0.0,0.0,0.0,1.0
150,2134.0,843.0,1579.0,837.0,1990.0,3.7029087536793556e-18,6.898003869493241e-12,6.11734947142395e-07,0.006044524256139994,0.9939548373222351
151,791.0,1824.0,197.0,1744.0,245.0,0.0,8.583293609516335e-39,1.808563442205396e-38,2.879302421640394e-16,1.0
152,843.0,2185.0,382.0,2200.0,1744.0,1.0935326951140095e-36,2.4713117045509023e-26,2.055819118241889e-19,1.065663779442616e-09,1.0
153,1744.0,843.0,1824.0,1909.0,1921.0,8.207974032726969e-38,2.0186252790765988e-35,2.4577228363828542e-29,2.3592937641583097e-26,1.0
154,1444.0,620.0,2117.0,386.0,1744.0,3.5230842380036964e-18,1.3353547597110688e-13,1.1899708649010243e-12,6.813993258525386e-10,1.0
155,215.0,1742.0,2117.0,221.0,1744.0,7.614247566434067e-16,1.348962119544978e-15,3.0912833328278905e-14,4.69530192503953e-07,0.9999995231628418
156,2200.0,1744.0,837.0,843.0,2185.0,3.300057883484944e-42,9.837255349406648e-41,1.1747519427227678e-14,3.254833913501898e-08,0.9999999403953552
157,890.0,884.0,1444.0,1744.0,2185.0,1.6835164728945529e-07,1.1568433365027886e-05,4.535920743364841e-05,0.19665101170539856,0.803291916847229
158,2038.0,890.0,2185.0,1884.0,837.0,4.951067734152444e-41,5.329492022786352e-30,1.8710575039943733e-21,2.88168516502569e-17,1.0
159,797.0,791.0,2382.0,912.0,884.0,0.0,0.0,0.0,2.802596928649634e-45,1.0
160,725.0,197.0,2186.0,686.0,1744.0,3.3485532646580704e-19,2.2763258715718633e-16,2.908683222665326e-13,1.33086197617871e-09,1.0
161,2117.0,813.0,1871.0,452.0,1744.0,5.574744154876376e-30,1.364188204927014e-20,4.21032847475189e-10,0.018017500638961792,0.9819824695587158
162,884.0,1912.0,217.0,827.0,890.0,2.051112408857674e-18,6.824764816943082e-17,4.033626189135775e-13,2.2600068483313862e-09,1.0
163,796.0,790.0,217.0,1914.0,1912.0,0.0,0.0,5.179129955944705e-32,1.0805972783245466e-09,1.0
164,796.0,797.0,798.0,837.0,2185.0,0.0,0.0,0.0,1.900160717624452e-42,1.0
165,1714.0,2185.0,843.0,1912.0,217.0,2.2168541705618606e-42,7.051474002328912e-41,5.973279090636711e-38,1.68105506186296e-13,1.0
166,796.0,797.0,791.0,2130.0,996.0,0.0,0.0,0.0,1.7626344837386858e-39,1.0
167,791.0,843.0,168.0,382.0,884.0,0.0,4.991676222807777e-32,1.410605479530841e-26,9.804302855820342e-23,1.0
168,796.0,797.0,798.0,1884.0,837.0,0.0,0.0,0.0,3.552231026560494e-27,1.0
169,795.0,2382.0,1639.0,843.0,2200.0,0.0,0.0,4.159403006412168e-33,2.9141125005693186e-14,1.0
170,2115.0,843.0,1752.0,2185.0,1744.0,1.8121591740648534e-41,4.2216918834713764e-41,4.244176194158985e-25,5.295808165744836e-23,1.0
171,278.0,827.0,2363.0,1744.0,2185.0,1.089210098530719e-38,3.5057996898306044e-35,7.112425915276178e-34,3.8993807024664736e-21,1.0
172,1752.0,843.0,1744.0,901.0,2185.0,1.401298464324817e-45,5.041685221685244e-38,5.531693037850957e-32,5.404688396408454e-31,1.0
173,2134.0,221.0,1361.0,1798.0,509.0,6.89210401896786e-18,4.758485827593972e-10,0.00013538477651309222,0.00027148902881890535,0.9995931386947632
174,2363.0,884.0,837.0,887.0,890.0,1.852295262970371e-28,6.548637296827224e-23,1.5677440501349338e-07,6.281300670707424e-07,0.9999992251396179
175,2189.0,2186.0,1914.0,837.0,1912.0,7.910196707759482e-39,4.4971126151698264e-33,4.875879567352059e-31,5.6017249538015615e-25,1.0
176,686.0,843.0,837.0,2362.0,2363.0,3.992685242458479e-38,1.1157290441917352e-31,5.382742601486512e-28,3.244541302294124e-10,1.0
177,796.0,790.0,890.0,1912.0,837.0,0.0,0.0,5.524830910498814e-35,1.5512020560343652e-29,1.0
178,795.0,796.0,790.0,2382.0,996.0,0.0,0.0,0.0,0.0,1.0
179,1752.0,1884.0,559.0,901.0,909.0,1.7521171178949895e-31,2.445666968044528e-22,1.233453190252476e-06,0.024335958063602448,0.9756628274917603
180,797.0,790.0,2382.0,884.0,890.0,0.0,0.0,0.0,2.846795458843367e-34,1.0
181,632.0,1744.0,2032.0,841.0,843.0,1.445287303464965e-13,1.6644294991742525e-13,0.0016341754235327244,0.011694936081767082,0.9866709113121033
182,410.0,1752.0,1693.0,837.0,108.0,8.193072933008477e-33,1.3955439077625143e-19,8.556692951845052e-14,4.475154968819339e-11,1.0
183,797.0,790.0,2382.0,884.0,965.0,0.0,0.0,0.0,3.19761872670754e-16,1.0
184,796.0,797.0,790.0,2382.0,217.0,0.0,0.0,0.0,0.0,1.0
185,795.0,796.0,790.0,2382.0,108.0,0.0,0.0,0.0,0.0,1.0
186,798.0,792.0,2382.0,217.0,221.0,0.0,0.0,0.0,1.0370870835885742e-21,1.0
187,1636.0,1742.0,2170.0,1641.0,245.0,3.440699447817191e-17,3.6602469466741577e-16,1.4841763928963303e-10,0.0026912912726402283,0.9973087310791016
188,797.0,790.0,2382.0,890.0,884.0,0.0,0.0,0.0,2.1109604803707084e-22,1.0
189,901.0,2185.0,2060.0,884.0,1748.0,1.401298464324817e-45,2.802596928649634e-45,2.188850607701497e-34,1.8749180690618445e-26,1.0
190,784.0,837.0,2036.0,996.0,1954.0,0.0,1.0462137751216489e-22,5.727961871314312e-18,4.801172480417559e-13,1.0
191,1758.0,1888.0,552.0,666.0,1871.0,3.510987968052967e-30,9.064664631055262e-30,1.2006213571200005e-21,7.029812302883137e-17,1.0
192,901.0,721.0,2185.0,1752.0,1884.0,8.183863291349797e-41,6.896591061456264e-36,1.5375863896043839e-30,1.3759139605440396e-08,1.0
193,797.0,791.0,566.0,196.0,2038.0,0.0,0.0,3.326797418988865e-32,1.8014053421257138e-20,1.0
194,797.0,791.0,2382.0,1744.0,837.0,0.0,0.0,0.0,3.3113548153926994e-37,1.0
195,797.0,791.0,2382.0,245.0,1010.0,0.0,0.0,0.0,3.2832423019130464e-42,1.0
196,2189.0,2185.0,1912.0,2186.0,837.0,9.793507841604645e-29,1.7256418583371142e-26,4.497860572882928e-06,0.093052439391613,0.9069430828094482
197,796.0,797.0,790.0,2382.0,884.0,0.0,0.0,0.0,0.0,1.0
198,1820.0,1990.0,2117.0,1752.0,1744.0,1.4054481373144936e-35,6.796077990417024e-26,9.060493112796325e-20,4.251466811783697e-18,1.0
199,2186.0,2185.0,837.0,1912.0,217.0,2.8742439178320977e-38,5.838827305581673e-38,7.450272851161371e-31,6.501957861004826e-10,1.0
200,794.0,789.0,2382.0,1914.0,1912.0,0.0,0.0,0.0,4.768156245604125e-40,1.0
201,795.0,796.0,789.0,1748.0,1744.0,0.0,0.0,0.0,1.7232527638821732e-35,1.0
202,2382.0,2362.0,196.0,40.0,1744.0,0.0,3.314208195377696e-39,2.617242763880631e-35,6.934584246818346e-27,1.0
203,790.0,2382.0,837.0,890.0,884.0,0.0,0.0,8.547920632381384e-44,3.446398017591307e-26,1.0
204,2382.0,229.0,231.0,843.0,2200.0,0.0,1.16726193920088e-27,4.194474012825535e-25,2.759101269938363e-13,1.0
205,2038.0,890.0,1744.0,837.0,901.0,1.0000992148942863e-30,2.597920101266027e-09,1.7764884319149132e-07,2.5699881689433823e-07,0.9999995827674866
206,791.0,2363.0,837.0,2134.0,2362.0,0.0,2.7803162830668696e-41,1.116440617942062e-30,6.461291461957533e-23,1.0
207,791.0,2382.0,837.0,217.0,1912.0,0.0,0.0,2.802596928649634e-44,4.857174233131867e-13,1.0
208,1820.0,620.0,843.0,1990.0,2185.0,1.642283095693074e-20,7.936447718155673e-20,2.138458090690874e-17,0.0036060817074030638,0.9963939189910889
209,790.0,2382.0,1884.0,884.0,901.0,0.0,0.0,1.0345573741756466e-30,1.2453283891600568e-21,1.0
210,269.0,2015.0,260.0,2004.0,1609.0,3.514943120981337e-29,1.0262565913397415e-21,3.339550479025227e-17,4.2596347240242904e-17,1.0
211,795.0,796.0,798.0,2382.0,721.0,0.0,0.0,0.0,0.0,1.0
212,721.0,747.0,1991.0,260.0,884.0,3.8298888328461575e-41,2.0618268353441047e-27,7.804295228881547e-26,0.03446414694190025,0.9655358791351318
213,795.0,2185.0,2186.0,890.0,884.0,0.0,1.769519841561173e-32,3.1460498811233776e-32,1.607239573786501e-05,0.9999839067459106
214,2186.0,217.0,890.0,912.0,884.0,3.923635700109488e-44,1.0702170078860213e-34,5.153902671681708e-32,3.2250142359921235e-21,1.0
215,795.0,796.0,798.0,2382.0,843.0,0.0,0.0,0.0,0.0,1.0
216,796.0,797.0,791.0,2382.0,2360.0,0.0,0.0,0.0,0.0,1.0
217,796.0,797.0,798.0,2185.0,837.0,0.0,0.0,0.0,3.0333634210649664e-16,1.0
218,796.0,790.0,2382.0,884.0,1744.0,0.0,0.0,0.0,3.232219992956725e-13,1.0
